County,State,Commodity,Corn_Yield_BuAcre_2022,PrecisionAg_Usage_Range,PrecisionAg_Usage_Midpoint_2022 (%),Controlled_Traffic_Farming_2021,Soil_Moisture_Monitoring_Y2_Y5_2021,Precision_Pesticide_Application_2021,Precision_Ag_Nutrient_Loss_Reduction_2021,Net_CSP_Incentive_2021,High_CSP_Incentive,High_Precision_Usage
OTHER COUNTIES,ALABAMA,CORN,122.1,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
DALLAS,ALABAMA,CORN,111.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MARENGO,ALABAMA,CORN,60.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
PERRY,ALABAMA,CORN,68,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BALDWIN,ALABAMA,CORN,139,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
ESCAMBIA,ALABAMA,CORN,167.1,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MONROE,ALABAMA,CORN,132.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BLOUNT,ALABAMA,CORN,100.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
CALHOUN,ALABAMA,CORN,142.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
CHEROKEE,ALABAMA,CORN,138.5,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
CULLMAN,ALABAMA,CORN,134.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
DE KALB,ALABAMA,CORN,144.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
ETOWAH,ALABAMA,CORN,132.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
JACKSON,ALABAMA,CORN,110.7,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MARSHALL,ALABAMA,CORN,123.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
COLBERT,ALABAMA,CORN,94,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
LAUDERDALE,ALABAMA,CORN,83,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
LAWRENCE,ALABAMA,CORN,96.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
LIMESTONE,ALABAMA,CORN,117.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MADISON,ALABAMA,CORN,152.5,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MARION,ALABAMA,CORN,120.1,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
MORGAN,ALABAMA,CORN,89.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
CHILTON,ALABAMA,CORN,92.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
FAYETTE,ALABAMA,CORN,101.5,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
RANDOLPH,ALABAMA,CORN,139.9,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
TALLADEGA,ALABAMA,CORN,154.9,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
TUSCALOOSA,ALABAMA,CORN,120.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
BARBOUR,ALABAMA,CORN,159.8,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
COFFEE,ALABAMA,CORN,125.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
DALE,ALABAMA,CORN,128.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
HENRY,ALABAMA,CORN,161.4,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
HOUSTON,ALABAMA,CORN,160.3,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
RUSSELL,ALABAMA,CORN,99.2,10 to 19.9%,15,,18.89,11.43,15.5,15.27,1,0
OTHER COUNTIES,ARKANSAS,CORN,163.5,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
CONWAY,ARKANSAS,CORN,141.7,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
ARKANSAS,ARKANSAS,CORN,187.9,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
CRITTENDEN,ARKANSAS,CORN,156.3,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
CROSS,ARKANSAS,CORN,174,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
LEE,ARKANSAS,CORN,180.4,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
LONOKE,ARKANSAS,CORN,171.6,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
MONROE,ARKANSAS,CORN,168.3,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
PHILLIPS,ARKANSAS,CORN,170.4,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
PRAIRIE,ARKANSAS,CORN,188.4,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
SAINT FRANCIS,ARKANSAS,CORN,180.5,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
WOODRUFF,ARKANSAS,CORN,151.6,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
CLAY,ARKANSAS,CORN,196.2,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
GREENE,ARKANSAS,CORN,173.9,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
INDEPENDENCE,ARKANSAS,CORN,142.9,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
JACKSON,ARKANSAS,CORN,159,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
LAWRENCE,ARKANSAS,CORN,160.7,20 to 29.9%,25,6.97,17.64,10.49,14.61,12.43,0,0
